method,cell_id,column,mae,rmse,mape,n_origins
prophet,PCI_5,RRC_Connection_Rejects,62.2069,124.3154,3693.76,6
prophet,PCI_5,RRC_Success_Rate_%,12.8471,22.3214,13.08,6
prophet,PCI_5,Avg_RRC_Connected_Users,45.9446,61.8952,32.14,6
prophet,PCI_5,Peak_RRC_Connected_Users,59.6343,80.7435,33.01,6
prophet,PCI_5,Registration_Success_Rate_%,8.1287,14.0293,8.24,6
prophet,PCI_5,PDU_Session_Success_Rate_%,10.2349,17.2309,10.43,6
prophet,PCI_5,RRC_Drop_Rate_%,2.7578,5.307,2521.28,6
prophet,PCI_5,Handover_Attempts,17.1648,22.8002,34.89,6
prophet,PCI_5,Handover_Success_Rate_%,17.104,29.4304,17.8,6
prophet,PCI_5,Xn_HO_Prep_Success_Rate_%,15.1005,25.8507,15.55,6
prophet,PCI_5,Xn_HO_Exec_Success_Rate_%,13.8354,23.7382,14.31,6
prophet,PCI_5,NG_HO_Prep_Success_Rate_%,0.8984,1.6677,0.91,6
prophet,PCI_5,NG_HO_Exec_Success_Rate_%,1.1492,2.2462,1.17,6
prophet,PCI_5,PRB_Utilization_DL_%,29.0244,47.7945,49.44,6
prophet,PCI_5,PRB_Utilization_UL_%,24.9021,41.3774,53.06,6
prophet,PCI_5,DL_Throughput_Mbps,344.3554,508.4468,141.18,6
prophet,PCI_5,UL_Throughput_Mbps,112.0874,168.7234,119.24,6
prophet,PCI_5,Total_Traffic_GB,3.4923,5.1557,137.08,6
prophet,PCI_5,RACH_Success_Rate_%,0.8189,1.4657,0.83,6
prophet,PCI_5,Latency_ms,20.5637,35.0939,161.16,6
prophet,PCI_6,Cell_Availability_%,0.071,0.1049,0.07,6
prophet,PCI_6,RRC_Connection_Attempts,138.935,189.0784,25.34,6
prophet,PCI_6,RRC_Connection_Rejects,0.5584,0.7283,31.03,6
prophet,PCI_6,RRC_Success_Rate_%,0.1324,0.1805,0.13,6
prophet,PCI_6,Avg_RRC_Connected_Users,48.53,64.1731,32.51,6
prophet,PCI_6,Peak_RRC_Connected_Users,64.6938,84.5117,33.62,6
prophet,PCI_6,Registration_Success_Rate_%,0.2227,0.3019,0.22,6
prophet,PCI_6,PDU_Session_Success_Rate_%,0.6687,1.0765,0.67,6
prophet,PCI_6,RRC_Drop_Rate_%,0.0739,0.0965,59.23,6
prophet,PCI_6,Handover_Attempts,18.132,23.8258,36.24,6
prophet,PCI_6,Handover_Success_Rate_%,0.7569,1.1493,0.77,6
prophet,PCI_6,Xn_HO_Prep_Success_Rate_%,0.3708,0.5682,0.37,6
prophet,PCI_6,Xn_HO_Exec_Success_Rate_%,0.462,0.6032,0.47,6
prophet,PCI_6,NG_HO_Prep_Success_Rate_%,0.6806,1.0585,0.69,6
prophet,PCI_6,NG_HO_Exec_Success_Rate_%,1.4575,2.9309,1.49,6
prophet,PCI_6,PRB_Utilization_DL_%,14.3339,19.3802,23.91,6
prophet,PCI_6,PRB_Utilization_UL_%,12.283,16.5532,26.75,6
prophet,PCI_6,DL_Throughput_Mbps,105.2318,141.0122,30.85,6
prophet,PCI_6,UL_Throughput_Mbps,32.8539,43.275,26.3,6
prophet,PCI_6,Total_Traffic_GB,1.0085,1.3387,28.62,6
prophet,PCI_6,RACH_Success_Rate_%,0.7363,1.5558,0.74,6
prophet,PCI_6,Latency_ms,2.2368,2.8684,18.84,6
prophet,PCI_7,Cell_Availability_%,0.0913,0.1843,0.09,6
prophet,PCI_7,RRC_Connection_Attempts,136.6612,185.0654,25.15,6
prophet,PCI_7,RRC_Connection_Rejects,0.6201,0.7762,24.07,6
prophet,PCI_7,RRC_Success_Rate_%,0.3059,0.5815,0.31,6
prophet,PCI_7,Avg_RRC_Connected_Users,44.9737,59.855,30.41,6
prophet,PCI_7,Peak_RRC_Connected_Users,63.2579,82.9233,33.68,6
prophet,PCI_7,Registration_Success_Rate_%,0.4643,0.745,0.47,6
prophet,PCI_7,PDU_Session_Success_Rate_%,0.2886,0.3975,0.29,6
prophet,PCI_7,RRC_Drop_Rate_%,0.0667,0.0823,98.44,6
prophet,PCI_7,Handover_Attempts,16.6157,22.1478,32.98,6
prophet,PCI_7,Handover_Success_Rate_%,0.9392,1.7647,0.95,6
prophet,PCI_7,Xn_HO_Prep_Success_Rate_%,0.3877,0.5354,0.39,6
prophet,PCI_7,Xn_HO_Exec_Success_Rate_%,0.5847,0.761,0.59,6
prophet,PCI_7,NG_HO_Prep_Success_Rate_%,0.904,1.5152,0.92,6
prophet,PCI_7,NG_HO_Exec_Success_Rate_%,1.0431,1.7078,1.06,6
prophet,PCI_7,PRB_Utilization_DL_%,14.6149,19.3022,24.88,6
prophet,PCI_7,PRB_Utilization_UL_%,12.9921,16.7037,27.66,6
prophet,PCI_7,DL_Throughput_Mbps,109.0515,147.6736,31.55,6
prophet,PCI_7,UL_Throughput_Mbps,30.7012,40.8809,24.65,6
prophet,PCI_7,Total_Traffic_GB,1.0196,1.3788,28.71,6
prophet,PCI_7,RACH_Success_Rate_%,0.612,0.9349,0.62,6
prophet,PCI_7,Latency_ms,2.3878,3.0412,20.55,6
prophet,PCI_8,Cell_Availability_%,1.4528,6.9595,2.21,6
prophet,PCI_8,RRC_Connection_Attempts,138.7455,187.2794,25.32,6
prophet,PCI_8,RRC_Connection_Rejects,0.6034,0.761,28.94,6
prophet,PCI_8,RRC_Success_Rate_%,0.2133,0.2854,0.21,6
prophet,PCI_8,Avg_RRC_Connected_Users,41.718,57.49,28.83,6
prophet,PCI_8,Peak_RRC_Connected_Users,55.7141,75.5274,30.78,6
prophet,PCI_8,Registration_Success_Rate_%,0.3367,0.4512,0.34,6
prophet,PCI_8,PDU_Session_Success_Rate_%,0.275,0.4235,0.28,6
prophet,PCI_8,RRC_Drop_Rate_%,1.1084,5.111,126.01,6
prophet,PCI_8,Handover_Attempts,15.8605,21.5311,31.88,6
prophet,PCI_8,Handover_Success_Rate_%,2.8893,10.5391,5.32,6
prophet,PCI_8,Xn_HO_Prep_Success_Rate_%,0.5029,0.7338,0.51,6
prophet,PCI_8,Xn_HO_Exec_Success_Rate_%,0.5975,0.93,0.61,6
prophet,PCI_8,NG_HO_Prep_Success_Rate_%,2.5728,10.2196,4.87,6
prophet,PCI_8,NG_HO_Exec_Success_Rate_%,2.5428,10.0188,4.71,6
prophet,PCI_8,PRB_Utilization_DL_%,17.0897,25.2486,678.42,6
prophet,PCI_8,PRB_Utilization_UL_%,14.7174,21.2461,192.39,6
prophet,PCI_8,DL_Throughput_Mbps,125.6857,179.4601,1560.18,6
prophet,PCI_8,UL_Throughput_Mbps,36.3651,55.4835,1628.34,6
prophet,PCI_8,Total_Traffic_GB,1.1751,1.7151,1328.77,6
prophet,PCI_8,RACH_Success_Rate_%,1.8257,6.6475,2.52,6
prophet,PCI_8,Latency_ms,2.2417,2.7937,18.76,6
prophet,PCI_9,Cell_Availability_%,0.0625,0.0943,0.06,6
prophet,PCI_9,RRC_Connection_Attempts,137.7174,191.0235,25.38,6
prophet,PCI_9,RRC_Connection_Rejects,0.5943,0.7478,31.18,6
prophet,PCI_9,RRC_Success_Rate_%,0.1953,0.3316,0.2,6
prophet,PCI_9,Avg_RRC_Connected_Users,52.1651,66.2582,34.36,6
prophet,PCI_9,Peak_RRC_Connected_Users,80.8693,103.4351,41.58,6
prophet,PCI_9,Registration_Success_Rate_%,0.7157,1.5476,0.72,6
prophet,PCI_9,PDU_Session_Success_Rate_%,0.3215,0.4254,0.32,6
prophet,PCI_9,RRC_Drop_Rate_%,0.0665,0.0846,111.78,6
prophet,PCI_9,Handover_Attempts,17.9298,23.3516,35.0,6
prophet,PCI_9,Handover_Success_Rate_%,0.6696,0.8212,0.68,6
prophet,PCI_9,Xn_HO_Prep_Success_Rate_%,0.4509,0.6153,0.46,6
prophet,PCI_9,Xn_HO_Exec_Success_Rate_%,0.5255,0.7079,0.53,6
prophet,PCI_9,NG_HO_Prep_Success_Rate_%,0.7139,1.1076,0.73,6
prophet,PCI_9,NG_HO_Exec_Success_Rate_%,0.9029,1.6314,0.92,6
prophet,PCI_9,PRB_Utilization_DL_%,14.1589,19.1171,24.42,6
prophet,PCI_9,PRB_Utilization_UL_%,11.5916,15.8979,25.79,6
prophet,PCI_9,DL_Throughput_Mbps,103.3066,138.0977,30.93,6
prophet,PCI_9,UL_Throughput_Mbps,32.1777,42.4672,25.99,6
prophet,PCI_9,Total_Traffic_GB,0.9401,1.2845,27.37,6
prophet,PCI_9,RACH_Success_Rate_%,1.0305,1.8192,1.04,6
prophet,PCI_9,Latency_ms,2.1804,2.7547,18.16,6
holt_winters,PCI_1,Cell_Availability_%,0.022,0.0267,0.02,6
holt_winters,PCI_1,RRC_Connection_Attempts,99.1724,136.0145,18.87,6
holt_winters,PCI_1,RRC_Connection_Rejects,0.5189,0.6191,32.04,6
holt_winters,PCI_1,RRC_Success_Rate_%,0.0783,0.0903,0.08,6
holt_winters,PCI_1,Avg_RRC_Connected_Users,35.5947,46.9981,24.48,6
holt_winters,PCI_1,Peak_RRC_Connected_Users,35.9362,48.5081,20.74,6
holt_winters,PCI_1,Registration_Success_Rate_%,0.1187,0.149,0.12,6
holt_winters,PCI_1,PDU_Session_Success_Rate_%,0.1573,0.2024,0.16,6
holt_winters,PCI_1,RRC_Drop_Rate_%,0.0568,0.0705,48.97,6
holt_winters,PCI_1,Handover_Attempts,10.6383,14.2303,22.12,6
holt_winters,PCI_1,Handover_Success_Rate_%,0.2359,0.2984,0.24,6
holt_winters,PCI_1,Xn_HO_Prep_Success_Rate_%,0.2257,0.2807,0.23,6
holt_winters,PCI_1,Xn_HO_Exec_Success_Rate_%,0.2402,0.3001,0.24,6
holt_winters,PCI_1,NG_HO_Prep_Success_Rate_%,0.2355,0.2949,0.24,6
